"Ekspor Sarang Burung menurut Negara/Wilayah/Entitas tertentu Tujuan Utama, 2012-2024",,,,,,,,,,,,,
,,,,,,,,,,,,,
Negara/Wilayah/Entitas tertentu tujuan,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,Berat bersih : Ton,,,,,,,,,,,,
Hongkong,235.2,286.4,392.3,474.4,625.5,487.8,290.4,644.1,897.2,989.9,734.4,630.9,458.1
Tiongkok,12.4,1.2,–,18.4,23,55.4,69.6,129.1,263.5,228.8,290,401.7,399.2
Singapura,131.9,194.1,131.8,100.2,96.8,71.6,90,75.4,68.8,80,45.2,36,38.5
Amerika Serikat,14.2,18,17.7,17.1,16.8,18.2,16.6,47,20.4,66.2,31,18.9,21
Vietnam,~0,16.3,42.3,124.3,203.7,624.5,806.1,329.9,27.2,71.3,236.3,213.2,269.7
Kanada,5.3,6,3.4,4.2,3.5,3.4,2.7,2,1.8,2.3,2.4,2,2.1
Taiwan,1.4,5.2,12.7,11.9,11.7,8.3,5.5,5.6,12.9,20.6,9.2,9.1,11.1
Thailand,3.1,3,13.7,4,5,3.8,4.4,1.1,2.4,1.8,0.5,–,–
Jepang,0.3,0.1,0.1,0.5,0.2,0.3,1,0.1,0.3,0.1,0.1,0.3,0.3
Kamboja,~0,~0,~0,~0,0.5,0.6,–,–,–,–,0~,–,0~
Lainnya,1.7,6.4,22.1,6,5.5,12.6,5.7,24.6,17.9,44.4,66.7,22.9,18.4
Jumlah,405.3,536.7,636.1,761.2,992.1,1286.7,1291.9,1258.8,1312.5,1505.5,1415.9,1335,1218.5
,,,,,,,,,,,,,
,Nilai FOB : 000 US$,,,,,,,,,,,,
Hongkong,59048.3,67598.2,65621.8,42907.4,117319.4,132233,88048.2,86381,79171.8,93005.5,84020.2,77137.7,62348.6
Tiongkok,410.9,141.8,–,16412.6,35704,102897.7,139821.4,219077.4,416764.7,350845.5,387438.4,479065.9,428793.6
Singapura,77081.3,64799.8,39946.8,20802.1,18404.1,8213.8,20174.3,30776.6,18469.7,29408.8,19880.5,17588.5,17813.5
Amerika Serikat,7700,8615.7,7891.5,7977,10445.3,13248.6,12772,12917.7,16055.6,26736.1,23545.4,14040.3,14718.5
Vietnam,3.1,3587,6806.9,5917.1,6522.9,19087.3,25986,10719.5,1226.1,4095.6,65565.2,39168.8,22011.2
Kanada,4246.3,3674.4,2004.3,2018.8,1991,2275.9,2281,1413.1,1090.3,1710.2,1426.3,1183.5,1210.3
Taiwan,460.1,1581.1,2537.2,3439.9,1610.5,1526.6,1013.5,917.8,1465.8,3388.8,1279.4,1530.3,1754.6
Thailand,4105.5,2023.3,2693.9,166,113.1,90.9,86.7,27.2,1890.1,1590.2,435.8,–,–
Jepang,147.9,113.7,24,64.3,97.6,202.5,14.2,2.2,249.8,33.4,102.1,160.1,197.4
Kamboja,0.2,1.2,2.8,0.1,96.8,22.2,–,–,–,–,0.2,–,1.3
Lainnya,201.2,1094.7,509.3,114.1,190.5,485.9,361.6,1715,3977.8,6211.3,6910.1,3371,2706.9
Jumlah,153404.9,153230.8,128038.6,99819.5,192495.4,280284.3,290559,363947.6,540361.6,517025.6,590603.6,633246,551555.9
Catatan: ,,,,,,,,,,,,,
- Diolah dari dokumen kepabeanan Ditjen Bea dan Cukai (PEB dan PIB),,,,,,,,,,,,,
- Data tahun 2021-2024 merupakan data revisi,,,,,,,,,,,,,
