userName,score,tanggal,appVersion,ulasan,sentimen
Pengguna Google,5,05/19/2026 1:40,4.16.1,sangat membantu,negatif
Pengguna Google,1,05/19/2026 1:38,4.16.1,apk tolol ngirim kode verifikasi aja lama banget,negatif
Pengguna Google,1,05/19/2026 1:37,4.16.1,kalau lagi mau digunakan apl nya pasti login ulang terus ehh sekarang malah gak bisa login gimana ini kendala terus dah bukannya ngebantu malam mempersulit jadi nya,negatif
Pengguna Google,1,05/19/2026 1:28,4.16.1,ini gimana ya mau daftar gk bisa dpet kode ferifikasi dari no telepon gagal terus gk guna banget malah ini,negatif
Pengguna Google,1,05/19/2026 1:28,4.16.1,lemottt apliksi buruk,negatif
Pengguna Google,1,05/19/2026 1:27,4.16.1,aplikasi nya tidak berjalan dengan normal masa mau registrasi aja ngga bisa udah masukin nomor yg aktif di tunggu dan coba beberapa kali tetap tidak ada no verifikasi nya tolong diperbaiki,positif
Pengguna Google,1,05/19/2026 1:23,4.16.1,kata nya biar mempermudah daftar nya tapi kenapa ribet banget sih mau berobat di bikin ribet sama system iuran harus tetap di bayar giliran mau berobat di bikin susah,negatif
Pengguna Google,1,05/19/2026 1:22,4.16.1,makin kesini ribet banget heran orang mau cek kesehatan malah di persulit sinyal bagus paketan full masih muter muter aja kalo mau masuk yg bener aja lah,positif
Pengguna Google,2,05/19/2026 1:21,4.16.1,aplikasinya makin hari makin aneh saya mau ngajuin rujukan malah dapat notif permintaan anda belom dapat diproses sinyal padahal gak ada masalah emang aplikasinya aja yang gak jelas,negatif
Pengguna Google,1,05/19/2026 1:17,4.16.1,apk jelek ngak guna,negatif
Pengguna Google,1,05/19/2026 1:17,4.16.1,sering ke logout kasian orang tua saya yang sudah lansia kalo mau kontrol,negatif
Pengguna Google,5,05/19/2026 1:12,4.16.1,bagus,positif
Pengguna Google,5,05/19/2026 1:11,4.16.1,sangat membantu,negatif
Pengguna Google,1,05/19/2026 1:09,4.13.1,gimna solusi kalau mau verifikasi sedangakn orang tua saya tuna netra dan diwajib kan verifikasi wajah berkedip tolong ini aneh sekali,negatif
Pengguna Google,5,05/19/2026 1:09,4.14.0,sangat baik,positif
Pengguna Google,1,05/19/2026 1:02,4.16.1,apk sangat sulit di mengerti,negatif
Pengguna Google,4,05/19/2026 1:02,4.16.1,sangat membantu keren,positif
Pengguna Google,1,05/19/2026 0:57,4.16.1,yg bener lah bikin aplikasi masa gagal diserver mulu,negatif
Pengguna Google,1,05/19/2026 0:51,4.16.1,tambah bobrokkk login aja susah,negatif
Pengguna Google,5,05/19/2026 0:42,4.16.1,terimakasih sangat membantu terlebih dipermudah dengan aplikasi pandawa semoga kita selalu diberi kesehatan,negatif
Pengguna Google,1,05/19/2026 0:36,4.16.1,dipersulit,negatif
Pengguna Google,5,05/19/2026 0:33,4.16.1,aplikasi bagus,positif
Pengguna Google,5,05/19/2026 0:30,4.16.1,gua kasih bintang lima bukan karena ni apk bagus nyet jelek bgt sumpah mempersulit bgt cuma daftar doang ge udah masukin nomer gagal mulu kaga jelas nyuruh daftar online tp apknya burik gajelas mempersulit rakyat kaya president,negatif
Pengguna Google,5,05/19/2026 0:01,4.16.1,aplikasinya bagus memidahkan kepada pengguna dalam mencari informasi yang dibutuhkan,positif
Pengguna Google,5,05/18/2026 23:58,4.16.1,sangat tertolong,negatif
Pengguna Google,5,05/18/2026 23:50,4.16.1,sangat menbantu,negatif
Pengguna Google,1,05/18/2026 23:37,4.16.1,susaahhh banget login padahal smua udah benerr,negatif
Pengguna Google,1,05/18/2026 23:33,4.16.1,aplikasi pembodohan,negatif
Pengguna Google,1,05/18/2026 23:23,4.16.1,mau login error mulu ke dokter gigi berobat cuman bisa sebulan sekali itupun susah daftar jknnya bpjs kesehatan bobrok indog bobrok,negatif
Pengguna Google,5,05/18/2026 23:21,4.16.1,baik,positif
Pengguna Google,5,05/18/2026 23:21,4.16.1,aplikasi gaguna asli aplikasi kaya gini cuma bikin repot mulu verifikasi ga muncul kalo gabecus gausa bikin aplikasi lah woy tua serahin kek ke yang profesional,positif
Pengguna Google,1,05/18/2026 23:19,4.16.1,aplikasi sangat jelek ribet sy gak suka unistal aja,negatif
